nombre,tienda,categoria_principal,precio,moneda,simbolo,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,id
ROG Delta S Animate,ASUS,auriculares audio,,,,0.0,0,"Auriculares gaming ligeros USB-C ®  con pantalla personalizable AniMe Matrix™, Hi-Fi ESS 9281 Quad DAC™, MQA, micrófono con supresión de ruido asistida por IA, compatible con PC, PlayStation ®  5, Nintendo Switch™.",{},ROG Delta S Animate,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-s-animate-model/,https://dlcdnwebimgs.asus.com/gain/459EC147-E757-4C4A-92CE-23EB38B0C81D/w185,90YH037M-B2UA00,R_90YH037M-B2UA00
ROG Delta White Edition,ASUS,auriculares audio,,,,0.0,0,"Auriculares RGB para juegos con Hi-Res ESS Quad-DAC, efecto de iluminación RGB circular y conector USB-C para PC, PS5, consolas y juegos móviles.",{},ROG Delta White Edition,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/5A3E1722-D327-4AF4-B846-FCA8678C99A1/w185,90YH02HW-B2UA00,R_90YH02HW-B2UA00
ROG Delta S Wireless,ASUS,auriculares audio,,,,0.0,0,"Auriculares inalámbricos ligeros para juegos con conectividad de 2,4 GHz y Bluetooth, controladores ASUS Essence de 50 mm, micrófonos AI Beamforming con AI Noise Cancelation, compatibles con PC, Mac, PlayStation ®  5, Nintendo Switch™.",{},ROG Delta S Wireless,"['Headsets & Audio', 'Headsets', 'Wireless Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/wireless-headsets/rog-delta-s-wireless-model/,https://dlcdnwebimgs.asus.com/gain/F223AA9E-DC85-421B-990A-EA07C27D19E5/w185,90YH03IW-B3UA00,R_90YH03IW-B3UA00
ROG Cetra II Core Moonlight White,ASUS,auriculares audio,,,,0.0,0,"Auriculares in-ear para gaming ROG Cetra II Core Moonlight White con drivers ASUS Essence especialmente afinados y conector de 3,5 mm compatibles con PC, portátiles, teléfonos móviles, ROG Phone 5, PlayStation 5, Xbox Series X/S y Nintendo Switch.",{},ROG Cetra II Core Moonlight White,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-ii-core-moonlight-white-model/,https://dlcdnwebimgs.asus.com/gain/A822B517-F1E6-4EB4-9F6E-0648EDF28F7D/w185,90YH0360-B2UA00,R_90YH0360-B2UA00
ROG Delta S Core,ASUS,auriculares audio,,,,0.0,0,"Auriculares ligeros para juegos de 3,5 mm con controladores ASUS Essence de 50 mm, sonido envolvente 7.1 virtual, compatibles con PC, PlayStation ®  5, Nintendo Switch™ y Xbox.",{},ROG Delta S Core,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-delta-s-core-model/,https://dlcdnwebimgs.asus.com/gain/6AA18038-5009-46AE-8E57-46A18AFE3C89/w185,90YH03JC-B1UA00,R_90YH03JC-B1UA00
ROG Cetra True Wireless,ASUS,auriculares audio,,,,0.0,0,"Auriculares para juegos ROG Cetra True Wireless con conexión inalámbrica de baja latencia, ANC, batería de hasta 27 horas con case de carga inalámbrica, resistencia al agua IPX4 y compatibilidad con EQ/virtual 7.1 a través de Armoury Crate.",{},ROG Cetra True Wireless,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-true-wireless-model/,https://dlcdnwebimgs.asus.com/gain/DDB1FED2-DAD2-4BB3-9F9F-7449831E0B51/w185,90YH03G1-B5UA00,R_90YH03G1-B5UA00
ROG Pelta,ASUS,auriculares audio,,,,0.0,0,"Auriculares para juegos RGB trimodo con tecnología inalámbrica ROG SpeedNova, controladores de diafragma de 50 mm ROG chapados en titanio, firma de sonido inalámbrica refinada, micrófono boom de 10 mm de banda superancha, diseño ligero de 309 gr., además de iluminación ASUS Aura Sync RGB.",{},ROG Pelta,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-pelta/,https://dlcdnwebimgs.asus.com/gain/7B1D87D2-A41F-445F-8802-BD7D52E0BB45/w185,90YH0410-BHAA00,R_90YH0410-BHAA00
ROG Cetra True Wireless SpeedNova,ASUS,auriculares audio,,,,0.0,0,"Auriculares gaming inalámbricos Bluetooth ®  y 2,4 GHz con tecnología inalámbrica ROG SpeedNova, audio de 24 bits a 96 kHz y Dirac Opteo™, micrófonos con IA de conducción ósea, ANC adaptativo con modo Auto, hasta 46 horas de autonomía, Hybrid Multipoint, y soporte de iluminación ASUS Aura RGB.",{},ROG Cetra True Wireless SpeedNova,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-true-wireless-speednova/,https://dlcdnwebimgs.asus.com/gain/51F6F5BD-6477-4573-9B67-551253E12B03/w185,90YH03Y0-BTAA00,R_90YH03Y0-BTAA00
ROG Delta,ASUS,auriculares audio,,,,0.0,0,"Auriculares gaming con Hi-Res ESS Quad-DAC, iluminación RGB circular y conector USB-C para PC, consolas y gaming móvil",{},ROG Delta,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-model/,https://dlcdnwebimgs.asus.com/gain/D7DAAA71-A71D-4C96-A3E7-ED2C88217668/w185,90YH00Z1-B2UA00,R_90YH00Z1-B2UA00
ROG Delta S,ASUS,auriculares audio,,,,0.0,0,"Auriculares ligeros USB-C para juegos con micrófono con cancelación de ruido AI, tecnología de renderizado MQA, Hi-Res ESS 9281 QUAD DAC, iluminación RGB, compatibles con PC, Nintendo Switch™ y Sony PlayStation ® 5.",{},ROG Delta S,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-s-model/,https://dlcdnwebimgs.asus.com/gain/28EFE950-BAD3-4B17-9C43-05F86CA7B6B5/w185,90YH02K0-B2UA00,R_90YH02K0-B2UA00
ROG STRIX GO CORE,ASUS,auriculares audio,,,,0.0,0,"Los audífonos para juegos ROG Strix Go Core ofrecen audio de juego inmersivo y una comodidad increíble, y son compatibles con PC, PS4, Xbox One, Nintendo Switch y dispositivos móviles.",{},ROG STRIX GO CORE,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-strix-go-core-model/,https://dlcdnwebimgs.asus.com/gain/2FAA2882-5564-4A2A-80DA-C76BA236E933/w185,90YH02R1-B1UA00,R_90YH02R1-B1UA00
ROG Strix Go Core Moonlight White,ASUS,auriculares audio,,,,0.0,0,"Los audífonos para juegos ROG Strix Go Core Moonlight White brindan un audio de juego envolvente y una comodidad increíble, y son compatibles con PC, Mac, teléfonos móviles, PlayStation® 5, Xbox® Series X y S, y Nintendo Switch™",{},ROG Strix Go Core Moonlight White,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-strix-go-core-moonlight-white-model/,https://dlcdnwebimgs.asus.com/gain/B43F05B8-6236-4225-8FB5-107B414D6104/w185,90YH0381-B1UA00,R_90YH0381-B1UA00
ROG Delta Origin,ASUS,auriculares audio,,,,0.0,0,"Auriculares para gaming ROG con anillos de iluminación LED rojos, un micrófono y conexión USB-C® para jugar en PC, Mac, smartphones y consola.",{},ROG Delta Origin,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-origin-model/,https://dlcdnwebimgs.asus.com/gain/885FBEEF-DAFD-484C-A806-CBDFD02087A4/w185,90YH032O-B2UA00,R_90YH032O-B2UA00
ROG Delta Core,ASUS,auriculares audio,,,,0.0,0,"Audifonos de gaming ROG Delta Core para disfrutar de una experiencia de juego inmersiva, cómoda y compatibilidad con PC, PS4, Xbox One, Nintendo switch y dispositivos móviles",{},ROG Delta Core,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-delta-core-model/,https://dlcdnwebimgs.asus.com/gain/E5E1D30F-BDF5-48EF-8EFB-9EA9A2445077/w185,90YH00Z1-B1UA00,R_90YH00Z1-B1UA00
ROG Strix Go,ASUS,auriculares audio,,,,0.0,0,"Los auriculares gaming ROG Strix Go USB-C con micrófono con cancelación de ruido por IA ofrecen un audio de juego inmersivo y una comodidad increíble, con soporte para PC, Mac, Nintendo Switch, dispositivos inteligentes y PS5",{},ROG Strix Go,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-strix-go-model/,https://dlcdnwebimgs.asus.com/gain/0007ACEA-3911-4BC1-A5FC-38E4337D875C/w185,90YH02Q1-B2UA00,R_90YH02Q1-B2UA00
ROG Cetra II,ASUS,auriculares audio,,,,0.0,0,"Audífonos internos para juegos con cancelación de ruido ROG Cetra II con micrófono con supresión de ruido, cancelación activa de ruido (ANC), controladores de caucho de silicona líquida (LSR), iluminación Aura Sync RGB y conector USB-C para ROG Phone 5, PC, dispositivos móviles y Nintendo Switch",{},ROG Cetra II,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-ii-model/,https://dlcdnwebimgs.asus.com/gain/37318753-662D-4B63-9EA8-A84E7F6880C0/w185,90YH02S0-B2UA00,R_90YH02S0-B2UA00
ROG Strix Go 2.4,ASUS,auriculares audio,,,,0.0,0,"Audífonos inalámbricos ROG Strix Go 2.4 para juegos USB-C® de 2.4GHz equipado con un cable de 3.5mm incluido y un micrófono con cancelación de ruido AI que brinda un rendimiento de baja latencia en PC, Mac, Nintendo Switch™, PS5 y dispositivos inteligentes.",{},ROG Strix Go 2.4,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-strix-go-2-4-model/,https://dlcdnwebimgs.asus.com/gain/B47A68E6-068E-47C6-A67A-84DDC7C7D733/w185,90YH01X1-B3UA00,R_90YH01X1-B3UA00
ROG Strix Go BT,ASUS,auriculares audio,,,,0.0,0,"Audífonos inalámbricos para juegos Bluetooth® con tecnología de audio adaptable Qualcomm® aptX™, tecnología de cancelación activa de ruido (ANC), micrófono con cancelación de ruido ASUS AI, rendimiento de baja latencia y compatibilidad con PC, Nintendo Switch™, dispositivos inteligentes y PS5™",{},ROG Strix Go BT,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-strix-go-bt-model/,https://dlcdnwebimgs.asus.com/gain/F82F8792-B3BE-4B58-B5EB-616ED8D52F39/w185,90YH02Y1-B5UA00,R_90YH02Y1-B5UA00
ROG Cetra RGB,ASUS,auriculares audio,,,,0.0,0,"Audífonos intraaurales para gaming ROG Cetra RGB con Cancelación Activa de Ruido (ANC), controladores ASUS Essence de 10 mm y conector USB-C para PC, dispositivos móviles y Nintendo Switch, con iluminación Aura Sync.",{},ROG Cetra RGB,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-rgb-model/,https://dlcdnwebimgs.asus.com/gain/817B6F7C-BB62-4BEE-8419-CA42159475BC/w185,90YH02U0-B2UA00,R_90YH02U0-B2UA00
ROG Fusion II 300,ASUS,auriculares audio,,,,0.0,0,"Audífonos para juegos RGB con ESS 9280 Quad DAC™ de alta resolución, graves profundos y sonido surround virtual 7.1, Beamforming Microphones con cancelación de ruido AI, compatible con PC, PlayStation® 5 y Nintendo Switch™.",{},ROG Fusion II 300,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-fusion-ii-300-model/,https://dlcdnwebimgs.asus.com/gain/AE87E296-D3B4-4286-B174-8A50EB4F642E/w185,90YH02X3-B2UA00,R_90YH02X3-B2UA00
ROG Fusion II 500,ASUS,auriculares audio,,,,0.0,0,"Audífonos para juegos RGB con ESS 9280 Quad DAC™ de alta resolución, graves profundos y sonido surround virtual 7.1, Beamforming Microphones con cancelación de ruido AI, control de volumen del chat de juego, compatible con PC, PlayStation® 5, Nintendo Switch™ y Xbox.",{},ROG Fusion II 500,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-fusion-ii-500-model/,https://dlcdnwebimgs.asus.com/gain/0B6F7E0D-DE7D-48BC-BBB1-75F35E2D5CC9/w185,90YH02W5-B2UA00,R_90YH02W5-B2UA00
ROG Throne Qi,ASUS,auriculares audio,,,,0.0,0,"ROG Throne Qi con carga inalambrica, sonido envolvente 7.1, dos puertos USB 3.1 y Aura Sync",{},ROG Throne Qi,"['Headsets & Audio', 'Accessories']",https://rog.asus.com/ar/headsets-audio/accessories/rog-throne-qi-model/,https://dlcdnwebimgs.asus.com/gain/9FC23A95-0011-4B09-957C-F80B1FF6527C/w185,90YH01K0-B2UA00,R_90YH01K0-B2UA00
ROG Theta 7.1,ASUS,auriculares audio,,,,0.0,0,"Auriculares para juegos USB-C con sonido envolvente 7.1, micrófono con cancelación de ruido AI, RAC 7.1 DAC de grado de cine en casa, controladores cuádruples ESS para PC, PS4, Nintendo Switch y dispositivos inteligentes",{},ROG Theta 7.1,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-theta-7-1-model/,https://dlcdnwebimgs.asus.com/gain/10C53CD7-221E-45E3-924B-473017560B7F/w185,90YH01W7-B2UA00,R_90YH01W7-B2UA00
TUF Gaming H1,ASUS,auriculares audio,,,,4.5,100,"Los auriculares TUF Gaming H1 ofrecen sonido envolvente 7.1 con graves profundos, un micrófono certificado para Discord y TeamSpeak, un diseño cómodo y ligero y compatibilidad con PC, PlayStation ®   5, Nintendo Switch™ y XBOX™.",{},Alámbricos,"['Accessories', 'Headsets-and-Audio', 'TUF-Gaming']",https://www.asus.com/ar/accessories/headsets-and-audio/tuf-gaming/tuf-gaming-h1/,https://dlcdnwebimgs.asus.com/gain/4e6adde0-2ae0-4dfb-881a-6aa48b31960d/w185,18087,18087
TUF Gaming H1 Wireless,ASUS,auriculares audio,,,,4.5,100,"Los auriculares TUF Gaming H1 Wireless cuentan con una conexión de 2,4 GHz, sonido envolvente 7.1 con graves profundos, un micrófono certificado para Discord y TeamSpeak, un diseño ligero y cómodo, además de compatibilidad con PC, PlayStation ®   5 y Nintendo Switch™.",{},Inalámbricos,"['Accessories', 'Headsets-and-Audio', 'TUF-Gaming']",https://www.asus.com/ar/accessories/headsets-and-audio/tuf-gaming/tuf-gaming-h1-wireless/,https://dlcdnwebimgs.asus.com/gain/46dd9f1e-ad8c-4972-af87-d60c1dc888d1/w185,18086,18086
TUF Gaming H3 Wireless,ASUS,auriculares audio,,,,4.5,100,"Los auriculares TUF Gaming H3 Wireless para PC, PlayStation &reg;  5, Nintendo Switch&trade; y teléfonos móviles cuentan con una conexión de 2.4 GHz con un alcance de 25 m, controladores ASUS Essence de 50 mm, sonido envolvente 7.1, graves profundos, un diseño ligero y almohadillas de enfriamiento rápido.",{},Inalámbricos,"['Accessories', 'Headsets-and-Audio', 'TUF-Gaming']",https://www.asus.com/ar/accessories/headsets-and-audio/tuf-gaming/tuf-gaming-h3-wireless/,https://dlcdnwebimgs.asus.com/gain/bee6dd15-7c6b-4bf9-a401-bf7e003616ab/w185,15243,15243
AI Noise-Canceling Mic Adapter,ASUS,auriculares audio,,,,4.5,100,"ASUS AI Noise-Canceling Mic Adapter con conexión USB-C a 3,5 mm ofrece una comunicación cristalina inigualable",{},Headsets,"['Accessories', 'Headsets-and-Audio', 'Headsets-Accessories']",https://www.asus.com/ar/accessories/headsets-and-audio/headsets-accessories/ai-noise-canceling-mic-adapter/,https://dlcdnwebimgs.asus.com/gain/5537d388-5b3b-490d-a815-100ed757fc2b/w185,14876,14876
TUF GAMING H3 Headset,ASUS,auriculares audio,,,,4.5,100,"Aud&iacute;fonos de gaming TUF Gaming H3 para PC, PS4, Xbox One y Nintendo Switch, con sonido envolvente 7.1, graves potentes, dise&ntilde;o ligero y almohadillas bien ventiladas",{},Alámbricos,"['Accessories', 'Headsets-and-Audio', 'TUF-Gaming']",https://www.asus.com/ar/accessories/headsets-and-audio/tuf-gaming/tuf-gaming-h3-headset/,https://dlcdnwebimgs.asus.com/gain/2c3123cb-ff9e-4b84-a5c9-23d48e5e0ae0/w185,12212,12212
ROG STRIX LC II 240,ASUS,enfriamiento,,,,0.0,0,Refrigerador líquido para CPU todo-en-uno ROG Strix LC II 240 con Aura Sync y dos ventiladores de radiador ROG de 120 mm,{},ROG STRIX LC II 240,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-ii-240-model/,https://dlcdnwebimgs.asus.com/gain/AB91054A-B998-40B2-AF28-12A63DCA7B99/w185,90RC00E0-M0AAY0,R_90RC00E0-M0AAY0
ROG STRIX LC II 240 ARGB WHITE EDITION,ASUS,enfriamiento,,,,0.0,0,Refrigerador líquido para CPU todo-en-uno ROG Strix LC II 240 ARGB White Edition con Aura Sync y dos ventiladores de radiador ROG de 120 mm direccionables RGB.,{},ROG STRIX LC II 240 ARGB WHITE EDITION,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-ii-240-argb-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/81F53387-AC34-4EF5-8F73-B261782B7645/w185,90RC00E2-M0AAY4,R_90RC00E2-M0AAY4
ROG STRIX LC II 360 ARGB WHITE EDITION,ASUS,enfriamiento,,,,0.0,0,Refrigerador líquido para CPU todo-en-uno ROG Strix LC II 360 ARGB White Edition con Aura Sync y tres ventiladores de radiador ROG de 120 mm direccionables RGB.,{},ROG STRIX LC II 360 ARGB WHITE EDITION,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-ii-360-argb-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/CD334A10-F373-498A-A53A-07493B44B6F9/w185,90RC00F2-M0AAY0,R_90RC00F2-M0AAY0
ROG Strix LC III 240 ARGB,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Strix LC III ARGB con bloque de agua giratorio 360º, la nueva bomba Gen7 v2 de Asetek, ventiladores ROG ARGB de alta calidad y más de 10 efectos de iluminación Aura personalizados.",{},ROG Strix LC III 240 ARGB,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-240-argb/,https://dlcdnwebimgs.asus.com/gain/C1824DF6-C5D5-4266-8965-B784CCD2F473/w185,90RC00S1-M0AAY0,R_90RC00S1-M0AAY0
ROG Strix LC III 240 ARGB White Edition,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Strix LC III ARGB con bloque de agua giratorio 360º, la nueva bomba Gen7 v2 de Asetek, ventiladores ROG ARGB de alta calidad y más de 10 efectos de iluminación Aura personalizados.",{},ROG Strix LC III 240 ARGB White Edition,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-240-argb-white-edition/,https://dlcdnwebimgs.asus.com/gain/4EECF249-6461-4FCC-B317-F3205668D72D/w185,90RC00S2-M0AAY0,R_90RC00S2-M0AAY0
ROG Strix LC III 360,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo en uno ROG Strix LC III con bloque de agua giratorio 360º, la nueva bomba Gen7 v2 de Asetek, ventiladores ROG de alta calidad y más de 10 efectos de iluminación Aura personalizados.",{},ROG Strix LC III 360,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-360/,https://dlcdnwebimgs.asus.com/gain/2C8479A2-448A-4643-B5CE-578B44E37792/w185,90RC00T0-M0AAY0,R_90RC00T0-M0AAY0
ROG Strix LC III 360 ARGB,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Strix LC III ARGB con bloque de agua giratorio 360º, la nueva bomba Gen7 v2 de Asetek, ventiladores ROG ARGB de alta calidad y más de 10 efectos de iluminación Aura personalizados.",{},ROG Strix LC III 360 ARGB,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-360-argb/,https://dlcdnwebimgs.asus.com/gain/85608C27-B01A-4721-98B4-5CCEFFC630F1/w185,90RC00T1-M0AAY0,R_90RC00T1-M0AAY0
ROG Strix LC III 360 ARGB White Edition,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Strix LC III ARGB con bloque de agua giratorio 360º, la nueva bomba Gen7 v2 de Asetek, ventiladores ROG ARGB de alta calidad y más de 10 efectos de iluminación Aura personalizados.",{},ROG Strix LC III 360 ARGB White Edition,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-360-argb-white-edition/,https://dlcdnwebimgs.asus.com/gain/2C7CA9D5-3878-4F3F-8AB3-11C43F8D5766/w185,90RC00T2-M0AAY0,R_90RC00T2-M0AAY0
ROG STRIX LC III 360 ARGB LCD,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Strix LC III ARGB LCD con pantalla LCD IPS de 2,1"", la nueva bomba Gen7 v2 de Asetek y ventiladores ROG ARGB de alta calidad.",{},ROG STRIX LC III 360 ARGB LCD,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-360-argb-lcd/,https://dlcdnwebimgs.asus.com/gain/6A08079E-DECD-48C0-AD8F-8C3583303439/w185,90RC00W1-M0AAY0,R_90RC00W1-M0AAY0
ROG STRIX LC III 360 ARGB LCD White Edition,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Strix LC III ARGB LCD con pantalla LCD IPS de 2,1"", la nueva bomba Gen7 v2 de Asetek y ventiladores ROG ARGB de alta calidad.",{},ROG STRIX LC III 360 ARGB LCD White Edition,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-iii-360-argb-lcd-white-edition/,https://dlcdnwebimgs.asus.com/gain/C736B031-2ECE-4E83-A9BA-0C753FB7F4FE/w185,90RC00W2-M0AAY0,R_90RC00W2-M0AAY0
ROG RYUO III 240 ARGB,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Ryuo III 240 con solución de bomba Asetek de 8º gen., pantalla LED Anime Matrix &trade;  y ventiladores de refrigeración ROG ARGB.",{},ROG RYUO III 240 ARGB,"['Cooling', 'CPU Liquid Coolers', 'ROG Ryuo']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-ryuo/rog-ryuo-iii-240-argb-model/,https://dlcdnwebimgs.asus.com/gain/D2ADE251-2A00-4CD4-968B-31A325793FC0/w185,90RC00J1-M0AAY0,R_90RC00J1-M0AAY0
ROG RYUO III 240 ARGB WHITE EDITION,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Ryuo III 240 edición blanca con solución de bomba Asetek de 8º gen., pantalla LED Anime Matrix &trade;  y ventiladores de refrigeración ROG ARGB.",{},ROG RYUO III 240 ARGB WHITE EDITION,"['Cooling', 'CPU Liquid Coolers', 'ROG Ryuo']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-ryuo/rog-ryuo-iii-240-argb-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/05F1F0E1-DC73-4E59-B253-D6EFD388A52E/w185,90RC00J2-M0AAY0,R_90RC00J2-M0AAY0
ROG Strix LC 240 RGB White Edition,ASUS,enfriamiento,,,,0.0,0,Water Cooling de CPU todo en uno ROG Strix LC 240 RGB con Aura Sync y ventiladores de radiador RGB direccionables Dual ROG de 120 mm,{},ROG Strix LC 240 RGB White Edition,"['Cooling', 'CPU Liquid Coolers', 'ROG Strix LC']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-strix-lc/rog-strix-lc-240-rgb-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/5831EF72-B837-424D-AE04-7AF9DECDA035/w185,90RC0062-M0AAY0,R_90RC0062-M0AAY0
ROG RYUO 120,ASUS,enfriamiento,,,,0.0,0,"Water Cooling para CPU todo en uno con Aura Sync RGB y pantalla oled, diseño estilo ROG con un vendilador de 120mm",{},ROG RYUO 120,"['Cooling', 'CPU Liquid Coolers', 'ROG Ryuo']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-ryuo/rog-ryuo-120-model/,https://dlcdnwebimgs.asus.com/gain/9D3FE966-B1E0-4CE2-A0FF-968B54BBBD4C/w185,90RC0010-M0AAY0,R_90RC0010-M0AAY0
ROG RYUO 240,ASUS,enfriamiento,,,,0.0,0,"Water Cooling para CPU todo en uno con Aura Sync RGB y pantalla oled, diseño estilo ROG con dos ventiladores de 120mm",{},ROG RYUO 240,"['Cooling', 'CPU Liquid Coolers', 'ROG Ryuo']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-ryuo/rog-ryuo-240-model/,https://dlcdnwebimgs.asus.com/gain/CF793E60-002A-495F-9F67-6258DE9E2A6F/w185,90RC0040-M0AAY0,R_90RC0040-M0AAY0
ROG RYUO III 360 ARGB,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Ryuo III 360 con solución de bomba Asetek de 8º generación, pantalla LED Anime Matrix &trade;  y ventiladores de refrigeración ROG ARGB.",{},ROG RYUO III 360 ARGB,"['Cooling', 'CPU Liquid Coolers', 'ROG Ryuo']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-ryuo/rog-ryuo-iii-360-argb-model/,https://dlcdnwebimgs.asus.com/gain/7FCB0DB5-BA2F-4049-A2B9-A88F6BB036F5/w185,90RC00I1-M0AAY0,R_90RC00I1-M0AAY0
ROG RYUO III 360 ARGB WHITE EDITION,ASUS,enfriamiento,,,,0.0,0,"Refrigerador líquido para CPU todo-en-uno ROG Ryuo III 360 edición blanca con solución de bomba Asetek 8º gen, pantalla LED Anime Matrix &trade;  y ventiladores de refrigeración ROG ARGB.",{},ROG RYUO III 360 ARGB WHITE EDITION,"['Cooling', 'CPU Liquid Coolers', 'ROG Ryuo']",https://rog.asus.com/ar/cooling/cpu-liquid-coolers/rog-ryuo/rog-ryuo-iii-360-argb-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/C5025E53-3EC0-47A8-9C38-B4CE61519C17/w185,90RC00I2-M0AAY0,R_90RC00I2-M0AAY0
