nombre,tienda,categoria_principal,precio,moneda,simbolo,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,id
ASUS Dual GeForce RTX™ 5060 8GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,ASUS Dual GeForce RTX™ 5060 8GB GDDR7 Edición OC con dos potentes ventiladores Axial-tech y un diseño de ranuras 2.5 para amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060-o8g/,https://dlcdnwebimgs.asus.com/gain/35710ce7-7a2b-42ab-aa48-63c448e6c047/w185,31135,31135
ASUS TUF Gaming GeForce RTX™ 5060 8GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5060 8GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5060-8g-gaming/,https://dlcdnwebimgs.asus.com/gain/bb703057-95c8-4b78-91e2-f176aa645c96/w185,31132,31132
ASUS TUF Gaming GeForce RTX™ 5060 8GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5060 OC Edition 8GB GDDR7 con componentes de grado militar, temperaturas más bajas y una durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5060-o8g-gaming/,https://dlcdnwebimgs.asus.com/gain/50000dec-9a3b-44e0-aa7e-69123370cd4e/w185,31131,31131
ASUS TUF Gaming GeForce RTX™ 5060 Ti 16GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5060 Ti 16GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5060ti-16g-gaming/,https://dlcdnwebimgs.asus.com/gain/ade1d322-a774-4e82-82ae-5bec416e07b0/w185,31093,31093
ASUS PRIME GeForce RTX™ 5060 Ti 8GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime GeForce RTX™ 5060 Ti 8GB GDDR7 SFF-Ready integra tres ventiladores axial-tech para refrigeración suprema.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5060ti-8g/,https://dlcdnwebimgs.asus.com/gain/91462953-1551-475d-bfea-173b0f0117f6/w185,31101,31101
ASUS Dual GeForce RTX™ 5060 Ti 8GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS Dual GeForce RTX™ 5060 Ti 8GB GDDR7 OC Edition con dos potentes ventiladores Axial-tech y un diseño de 2,5 ranuras para una amplia compatibilidad",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060ti-o8g/,https://dlcdnwebimgs.asus.com/gain/e4609242-8600-436e-8bfc-f0d27b6f0984/w185,31102,31102
ASUS TUF Gaming GeForce RTX™ 5060 Ti 8GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5060 Ti 8GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5060ti-8g-gaming/,https://dlcdnwebimgs.asus.com/gain/b8fd7b3c-8d9e-4298-a21f-f45c9ae8906f/w185,31099,31099
ASUS TUF Gaming GeForce RTX™ 5060 Ti 8GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5060 Ti OC Edition 8GB GDDR7 con componentes de grado militar, temperaturas más bajas y durabilidad mejorada",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5060ti-o8g-gaming/,https://dlcdnwebimgs.asus.com/gain/716691ca-50a0-4428-8f65-9ba5609e6714/w185,31098,31098
ASUS PRIME GeForce RTX™ 5060 Ti 8GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"La ASUS Prime GeForce RTX™ 5060 Ti OC Edition de 8GB GDDR7, compatible con SFF, cuenta con tres ventiladores de tecnología Axial-tech para una refrigeración suprema.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5060ti-o8g/,https://dlcdnwebimgs.asus.com/gain/b46cda52-4add-487c-b011-a7f942f955cd/w185,31100,31100
ASUS PRIME GeForce RTX™ 5060 Ti 16GB GDDR7,ASUS,tarjetas graficas,,,,4.5,100,"La ASUS Prime GeForce RTX™ 5060 Ti de 16GB GDDR7, compatible con SFF, cuenta con tres ventiladores de tecnología Axial-tech para una refrigeración suprema.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5060ti-16g/,https://dlcdnwebimgs.asus.com/gain/6e4f87b1-b882-43c2-8646-4473c2c01d04/w185,31095,31095
ASUS PRIME GeForce RTX™ 5060 Ti 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"La ASUS Prime GeForce RTX™ 5060 Ti OC Edition 16GB GDDR7, preparada para SFF, cuenta con tres ventiladores de tecnología Axial-tech para una refrigeración suprema.",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rtx5060ti-o16g/,https://dlcdnwebimgs.asus.com/gain/334cf5fa-23bf-4be1-ba1f-2cdb7f041e9b/w185,31094,31094
ASUS Dual GeForce RTX™ 5060 Ti 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,ASUS Dual GeForce RTX™ 5060 Ti 16GB GDDR7 OC Edition con dos potentes ventiladores Axial-tech y un diseño de 2.5 ranuras para una amplia compatibilidad.,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060ti-o16g/,https://dlcdnwebimgs.asus.com/gain/d9408583-9a6f-4a2b-b721-c09f1fe8cf99/w185,31096,31096
ASUS TUF Gaming GeForce RTX™ 5060 Ti 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming GeForce RTX™ 5060 Ti Edición OC 16GB GDDR7 con componentes de grado militar, temperaturas más bajas y mayor durabilidad",{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rtx5060ti-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/f1012a5f-7aba-4466-9702-ed5b66a451b0/w185,31092,31092
ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,0.0,0,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC Edition: la primera tarjeta gráfica ROG con cuatro ventiladores que ofrece un flujo y una presión de aire sin precedentes para un rendimiento de refrigeración óptimo.,{},ROG-ASTRAL-RTX5080-O16G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Astral']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-astral/rog-astral-rtx5080-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/D2014DA5-2608-405F-A7AD-BDD8F6CE1F91/w185,90YV0LV0-M0AA00,R_90YV0LV0-M0AA00
ROG Astral GeForce RTX™ 5090 32GB GDDR7 OC Edition,ASUS,tarjetas graficas,,,,0.0,0,ROG Astral GeForce RTX™ 5090 32GB GDDR7 OC Edition - La primera tarjeta gráfica ROG con cuatro ventiladores que ofrece un flujo y una presión de aire sin precedentes para un rendimiento de refrigeración óptimo.,{},ROG-ASTRAL-RTX5090-O32G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Astral']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-astral/rog-astral-rtx5090-o32g-gaming/,https://dlcdnwebimgs.asus.com/gain/128A96DB-DA90-4C45-A7A7-2A56F9F4F48A/w185,90YV0LW0-M0AA00,R_90YV0LW0-M0AA00
ASUS TUF Gaming Radeon™ RX 9070 XT OC Edition 16GB GDDR6,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming Radeon RX 9070 XT OC Edition con componentes de grado militar, temperaturas más bajas y durabilidad mejorada",{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rx9070xt-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/aa54c1c4-67ba-427d-9b40-488646ae3ed5/w185,30932,30932
ASUS Prime Radeon™ RX 9070 XT OC Edition 16GB GDDR6,ASUS,tarjetas graficas,,,,4.5,100,ASUS Prime Radeon RX 9070 XT OC Edition cuenta con tres ventiladores axial-tech y una almohadilla térmica GPU de cambio de fase para una refrigeración suprema.,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rx9070xt-o16g/,https://dlcdnwebimgs.asus.com/gain/926199b9-c091-410f-a3ad-bda8a4a8f960/w185,30934,30934
ASUS TUF Gaming Radeon™ RX 9070 OC Edition 16GB GDDR6,ASUS,tarjetas graficas,,,,4.5,100,"ASUS TUF Gaming Radeon RX 9070 OC Edition con componentes de grado militar, temperaturas más bajas y durabilidad mejorada",{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'TUF-Gaming']",https://www.asus.com/ar/motherboards-components/graphics-cards/tuf-gaming/tuf-rx9070-o16g-gaming/,https://dlcdnwebimgs.asus.com/gain/57d8c78e-be51-4992-9ee0-47d2aefd350d/w185,30933,30933
ASUS Prime Radeon™ RX 9070 OC Edition 16GB GDDR6,ASUS,tarjetas graficas,,,,4.5,100,La ASUS Prime Radeon RX 9070 OC Edition tiene tres ventiladores axial-tech y un thermal pad de cambio de fase en el GPU para una refrigeración suprema.,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'PRIME']",https://www.asus.com/ar/motherboards-components/graphics-cards/prime/prime-rx9070-o16g/,https://dlcdnwebimgs.asus.com/gain/2105ed39-3696-49cf-bc0c-f2f5fe3d2420/w185,30935,30935
ROG Strix GeForce RTX™ 4060 Ti 8GB GDDR6 OC Edition,ASUS,tarjetas graficas,,,,0.0,0,ROG Strix GeForce RTX™ 4060 Ti 8GB GDDR6 OC Edition con DLSS 3 y un rendimiento térmico de récord.,{},ROG-STRIX-RTX4060TI-O8G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Strix']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-strix/rog-strix-rtx4060ti-o8g-gaming/,https://dlcdnwebimgs.asus.com/gain/BEE1D3BF-C32E-4370-B21B-F6AC49D484C6/w185,90YV0J52-M0AA00,R_90YV0J52-M0AA00
ROG Strix GeForce RTX™ 4070 SUPER 12GB GDDR6X,ASUS,tarjetas graficas,,,,0.0,0,ROG Strix GeForce RTX™ 4070 SUPER 12GB GDDR6X con DLSS 3 y un rendimiento térmico de récord.,{},ROG-STRIX-RTX4070S-12G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Strix']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-strix/rog-strix-rtx4070s-12g-gaming/,https://dlcdnwebimgs.asus.com/gain/136390F5-8BCB-4E2E-83ED-2D71F72AB797/w185,90YV0KD1-M0AA00,R_90YV0KD1-M0AA00
ROG Strix GeForce RTX™ 4070 SUPER 12GB GDDR6X OC Edition,ASUS,tarjetas graficas,,,,0.0,0,ROG Strix GeForce RTX™ 4070 SUPER 12GB GDDR6X OC Edition con DLSS 3 y un rendimiento térmico de récord.,{},ROG-STRIX-RTX4070S-O12G-GAMING,"['Graphics Cards', 'Graphics Cards', 'ROG Strix']",https://rog.asus.com/ar/graphics-cards/graphics-cards/rog-strix/rog-strix-rtx4070s-o12g-gaming/,https://dlcdnwebimgs.asus.com/gain/0B774449-F209-469E-9876-8E2DB6BE658B/w185,90YV0KD0-M0AA00,R_90YV0KD0-M0AA00
