id,title,katalogCategoryId,slug,brand_id,brand_name,sku_id,categories,list_price,sale_price,product_url
690e0d60ddac6589db84ce0a,GRAF. GEFORCE 3070 TI 8GB -TUF GAMING,5a301c0e1400007200491bd4,graf-geforce-3070-ti-8gb-tuf-gaming,5a301bdc140000630049072b,Asus,22646911,"['Placas de video', 'Gaming PC', 'Informática']",1800000.0,1400000.0,https://www.fravega.com/p/graf-geforce-3070-ti-8gb-tuf-gaming-22646911
66f56cb1320000afe7301d24,Gabinete Asus Prime Ap201 Micro-atx Mini-itx Negro,5a301c0e1400007200491bf2,gabinete-asus-prime-ap201-micro-atx-mini-itx-negro,5a301bdc140000630049072b,Asus,990177073,"['Gabinetes', 'Gaming PC', 'Informática']",255599.0,255599.0,https://www.fravega.com/p/gabinete-asus-prime-ap201-micro-atx-mini-itx-negro-990177073
68f0f3e385dcb36a24f52afd,"Laptop para juegos ASUS ROG Strix G17 (2023), QHD",5a301c031400008a0049181b,laptop-para-juegos-asus-rog-strix-g17-2023-qhd,5a301bdc140000630049072b,Asus,22629473,"['Notebooks', 'Informática']",7496790.0,5622593.0,https://www.fravega.com/p/laptop-para-juegos-asus-rog-strix-g17-2023-qhd-22629473
68b9c2cd7c71a9673a51102b,MINI PC ASUS i3-1220P DDR5 M.2 NVME,5a301c031400007700491833,mini-pc-asus-i3-1220p-ddr5-m-2-nvme,5a301bdc140000630049072b,Asus,22604866,"['All In One y PC Escritorio', 'Informática']",1616339.69,950780.0,https://www.fravega.com/p/mini-pc-asus-i3-1220p-ddr5-m-2-nvme-22604866
6138918d100000370000f3dc,MOTHERBOARD ASUS AM4 TUF GAMING B450M-PLUS II BOX M-ATX,5a301c0e1400007700491ba7,motherboard-asus-am4-tuf-gaming-b450m-plus-ii-box-m-atx,5a301bdc140000630049072b,Asus,20010364,"['Mothers', 'Gaming PC', 'Informática']",98819.0,89836.0,https://www.fravega.com/p/motherboard-asus-am4-tuf-gaming-b450m-plus-ii-box-m-atx-20010364
68a747c824b5fc3d505cfd57,MOTHERBOARD ASUS PRIME X299-A TRIPLE M.2 USB 3.2 TYPE-C RGB 2066,5a301c0e1400007700491ba7,motherboard-asus-prime-x299-a-triple-m-2-usb-3-2-type-c-rgb-2066,5a301bdc140000630049072b,Asus,22578896,"['Mothers', 'Gaming PC', 'Informática']",562031.0,517871.0,https://www.fravega.com/p/motherboard-asus-prime-x299-a-triple-m-2-usb-3-2-type-c-rgb-2066-22578896
68b59c438717ddd4baa6f1cb,Mando ASUS ROG Kunai para ROG Phone II,5a301c001400008a00491798,mando-asus-rog-kunai-para-rog-phone-ii,5a301bdc140000630049072b,Asus,22601380,"['Soportes y otros', 'Accesorios para Celulares', 'Celulares']",510726.0,434117.1,https://www.fravega.com/p/mando-asus-rog-kunai-para-rog-phone-ii-22601380
6704b8f5400000b808f37464,Mb Amd Am4 Asus Prime A520m-k,5a301c0e1400007700491ba7,mb-amd-am4-asus-prime-a520m-k,5a301bdc140000630049072b,Asus,21523910,"['Mothers', 'Gaming PC', 'Informática']",147499.0,132749.0,https://www.fravega.com/p/mb-amd-am4-asus-prime-a520m-k-21523910
68f7878fb6aad0041d1311e2,Mini PC ASUS NUC 12 PRO i7-1260P Iris Xe Wi-Fi 6E sin Sistema Operativo,5a301c031400007700491833,mini-pc-asus-nuc-12-pro-i7-1260p-iris-xe-wi-fi-6e-sin-sistema-operativo,5a301bdc140000630049072b,Asus,990258451,"['All In One y PC Escritorio', 'Informática']",1496879.4,1197503.52,https://www.fravega.com/p/mini-pc-asus-nuc-12-pro-i7-1260p-iris-xe-wi-fi-6e-sin-sistema-operativo-990258451
68681d0783402a58f8eb2c81,Mochila Para Notebook 15.6 Triple Kit MNB Negra,5a301c071400007e004919bb,mochila-para-notebook-15-6-triple-kit-mnb-negra,5a301bdc140000630049072b,Asus,22507251,"['Mochilas y Bolsos Notebook', 'Accesorios de Informática', 'Informática']",65199.0,48899.0,https://www.fravega.com/p/mochila-para-notebook-15-6-triple-kit-mnb-negra-22507251
