id,title,katalogCategoryId,slug,brand_id,brand_name,sku_id,categories,list_price,sale_price
68daf07c5d0e3e0f45e28c64,Ordenador portátil reacondicionado Lenovo ThinkPad T480s 14 FHD Core i5-8350U 16 GB 256 GB,5a301c031400008a0049181b,ordenador-portatil-reacondicionado-lenovo-thinkpad-t480s-14-fhd-core-i5-8350u-16-gb-256-gb,5a301bdb14000072004905f2,Lenovo,22623793,"['Notebooks', 'Informática']",710735.0,568588.0
68daf06d304255c87c6e65d7,Ordenador portátil reacondicionado Lenovo ThinkPad T480s 14 FHD Intel i5-8350U 16GB 1T,5a301c031400008a0049181b,ordenador-portatil-reacondicionado-lenovo-thinkpad-t480s-14-fhd-intel-i5-8350u-16gb-1t,5a301bdb14000072004905f2,Lenovo,22623788,"['Notebooks', 'Informática']",811419.0,649135.19
68daf062304255c87c6e65d6,Ordenador portátil reacondicionado Lenovo ThinkPad T490 14 FHD Intel Core i5-8365U 16GB,5a301c031400008a0049181b,ordenador-portatil-reacondicionado-lenovo-thinkpad-t490-14-fhd-intel-core-i5-8365u-16gb,5a301bdb14000072004905f2,Lenovo,22623783,"['Notebooks', 'Informática']",870624.0,696499.2
680be25a4e219c18d91e4167,PC Aio Lenovo A100 F0J6001YAR,5a301c031400007700491833,pc-aio-lenovo-a100-f0j6001yar,5a301bdb14000072004905f2,Lenovo,364598,"['All In One y PC Escritorio', 'Informática']",1199999.0,999999.0
665dcebe250000ffcab3bd48,"PC All in One Lenovo 23,8” Intel Core i3 8GB 512GB F0GH01FDAR",5a301c031400007700491833,pc-all-one-lenovo-23-8”-intel-core-i3-8gb-512gb-f0gh01fdar,5a301bdb14000072004905f2,Lenovo,364563,"['All In One y PC Escritorio', 'Informática']",1349999.0,1299999.0
6908c176f0778347b3119fa8,PC Lenovo ThinkCentre neo 55s Ryzen 5 8GB RAM 256GB SSD Gen 6,5a301c031400007700491833,pc-lenovo-thinkcentre-neo-55s-ryzen-5-8gb-ram-256gb-ssd-gen-6,5a301bdb14000072004905f2,Lenovo,990265400,"['All In One y PC Escritorio', 'Informática']",1249748.75,999799.01
6908c1cbc61d43f719efa077,PC Lenovo ThinkCentre neo 55s Ryzen 7 16GB RAM 512GB SSD Gen 6,5a301c031400007700491833,pc-lenovo-thinkcentre-neo-55s-ryzen-7-16gb-ram-512gb-ssd-gen-6,5a301bdb14000072004905f2,Lenovo,990265404,"['All In One y PC Escritorio', 'Informática']",1530873.75,1224698.99
6908c18597cf0e8c809fa48c,PC Lenovo Thinkcentre Neo 50q Intel Core 7 16GB RAM 512GB SSD con Teclado y Mouse,5a301c031400007700491833,pc-lenovo-thinkcentre-neo-50q-intel-core-7-16gb-ram-512gb-ssd-con-teclado-y-mouse,5a301bdb14000072004905f2,Lenovo,990265401,"['All In One y PC Escritorio', 'Informática']",1735873.75,1388699.0
6908c1a2b6aad0041d1316b9,PC Lenovo Thinkcentre neo 50q i5 8GB RAM 256GB SSD Gen 5 Sin Windows,5a301c031400007700491833,pc-lenovo-thinkcentre-neo-50q-i5-8gb-ram-256gb-ssd-gen-5-sin-windows,5a301bdb14000072004905f2,Lenovo,990265398,"['All In One y PC Escritorio', 'Informática']",1306030.43,1044824.35
68795e96adb635ede0b84cc5,PC de Escritorio Estacion Lenovo Ryzen 3 3250U 240GB 8GB SSD,5a301c031400007700491833,pc-de-escritorio-estacion-lenovo-ryzen-3-3250u-240gb-8gb-ssd,5c05835c140000d601ed2500,AMD,22520260,"['All In One y PC Escritorio', 'Informática']",780000.0,499990.0
