nombre,tienda,precio,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,score
ASUS Chromebook C424,ASUS,930233.0,4.5,100.0,ChromeOS Procesador Intel Pentium Silver Gráficos Intel UHD Memoria hasta 8 GB Almacenamiento hasta 128 GB eMMc Pantalla de 14 hasta FHD WiFi 5 de doble banda 80211ac Delgado y ligero 18 mm 15 kg,{},Tradicional,"['Laptops', 'For-Home', 'Chromebook']",https://www.asus.com/ar/laptops/for-home/chromebook/asus-chromebook-c424/,https://dlcdnwebimgs.asus.com/gain/acb5029e-e2c8-4e45-94d6-555da7617a2c/w185,11061,3.814621212121212
ASUS Dual GeForce RTX™ 3050 OC Edition 6GB GDDR6,ASUS,881052.0,4.5,100.0,ASUS Dual GeForce RTX 3050 OC Edition de 6GB GDDR6 con dos potentes ventiladores rendimiento AAA en juegos y ray tracing,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx3050-o6g/,https://dlcdnwebimgs.asus.com/gain/d99f9dfc-4eaf-45a8-a30e-d7adfe27a204/w185,25204,3.814621212121212
ASUS Dual GeForce RTX™ 3050 V2 OC Edition 8GB GDDR6,ASUS,872444.0,4.5,100.0,ASUS Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6 con dos potentes ventiladores Axialtech y un diseño de 2 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx3050-o8g-v2/,https://dlcdnwebimgs.asus.com/gain/298b5818-038d-44ad-aa4f-879ef780ff9e/w185,20802,3.814621212121212
ASUS Dual GeForce RTX™ 4060 EVO OC Edition 8GB GDDR6,ASUS,1073214.0,4.5,100.0,ASUS Dual GeForce RTX 4060 EVO OC Edition 8GB GDDR6 con dos potentes ventiladores Axialtech y una placa posterior protectora para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060-o8g-evo/,https://dlcdnwebimgs.asus.com/gain/9fe54894-dcf5-4abf-be34-36db3ce4ada5/w185,25165,3.814621212121212
ASUS Dual GeForce RTX™ 4060 Ti EVO OC Edition 16GB GDDR6,ASUS,751877.0,4.5,100.0,ASUS Dual GeForce RTX 4060 Ti EVO OC Edition 16GB GDDR6 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060ti-o16g-evo/,https://dlcdnwebimgs.asus.com/gain/b2564576-a574-41ca-bf17-971ee08e6097/w185,25403,3.814621212121212
ASUS Dual GeForce RTX™ 4060 Ti EVO OC Edition 8GB GDDR6,ASUS,856168.0,4.5,100.0,ASUS Dual GeForce RTX 4060 Ti EVO OC Edition 8GB GDDR6 está diseñada para una amplia compatibilidad con diseño de ventilador Axialtech tecnología 0dB tecnología AutoExtreme y más,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060ti-o8g-evo/,https://dlcdnwebimgs.asus.com/gain/bd4c98bc-2292-4265-855c-2329407c893f/w185,25104,3.814621212121212
ASUS Dual GeForce RTX™ 4060 Ti White Edition 8GB GDDR6,ASUS,863623.0,4.5,100.0,ASUS Dual GeForce RTX 4060 Ti White Edition de 8GB GDDR6 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060ti-8g-white/,https://dlcdnwebimgs.asus.com/gain/793ec7a2-c506-4003-8581-b5b952ad9ff5/w185,23655,3.814621212121212
ASUS Dual GeForce RTX™ 4060 Ti White OC Edition 8GB GDDR6,ASUS,1287674.0,4.5,100.0,ASUS Dual GeForce RTX 4060 Ti White Edición OC de 8GB GDDR6 con dos potentes ventiladores Axialtech y un diseño de ranuras 25 para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060ti-o8g-white/,https://dlcdnwebimgs.asus.com/gain/444f754a-5c63-4a24-ac0a-5e7e2e92310c/w185,23654,3.814621212121212
ASUS Dual GeForce RTX™ 4060 V2 OC Edition 8GB GDDR6,ASUS,824978.0,4.5,100.0,ASUS Dual GeForce RTX 4060 V2 Edición OC de 8GB GDDR6 con dos potentes ventiladores Axialtech y un diseño de 2 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060-o8g-v2/,https://dlcdnwebimgs.asus.com/gain/580fdaea-903f-4f1d-8ccc-813d11bbe7c5/w185,23964,3.814621212121212
ASUS Dual GeForce RTX™ 4060 White OC Edition 8GB GDDR6,ASUS,717776.0,4.5,100.0,ASUS Dual GeForce RTX 4060 White Edición OC de 8GB GDDR6 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx4060-o8g-white/,https://dlcdnwebimgs.asus.com/gain/3d192535-e2f5-43a2-8724-9b5103e2615a/w185,23726,3.814621212121212
